ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUST00000132532	ENSMUSG00000044791	Setd2
ENSMUST00000132533	ENSMUSG00000054598	9130230L23Rik
ENSMUST00000132534	ENSMUSG00000026843	Fubp3
ENSMUST00000132535	ENSMUSG00000030309	Caprin2
ENSMUST00000132536	ENSMUSG00000031512	Tex29
ENSMUST00000132537	ENSMUSG00000027184	Caprin1
ENSMUST00000132538	ENSMUSG00000000823	Znf512b
ENSMUST00000132539	ENSMUSG00000026955	Sapcd2
ENSMUST00000132540	ENSMUSG00000038611	Phrf1
ENSMUST00000132541	ENSMUSG00000078350	Smim1
ENSMUST00000132542	ENSMUSG00000041997	Tlk1
ENSMUST00000132543	ENSMUSG00000020929	Eftud2
ENSMUST00000132544	ENSMUSG00000038902	Pogz
ENSMUST00000132545	ENSMUSG00000028776	Tinagl1
ENSMUST00000132546	ENSMUSG00000029254	Stap1
ENSMUST00000132547	ENSMUSG00000050555	Hyls1
ENSMUST00000132548	ENSMUSG00000041346	Wrap53
ENSMUST00000132550	ENSMUSG00000008305	Tle1
ENSMUST00000132551	ENSMUSG00000038633	Degs1
ENSMUST00000132555	ENSMUSG00000004455	Ppp1cc
ENSMUST00000132556	ENSMUSG00000048485	Zbtb8b
ENSMUST00000132557	ENSMUSG00000027312	Atrn
ENSMUST00000132558	ENSMUSG00000040359	Ufl1
ENSMUST00000132560	ENSMUSG00000086155	9430041J12Rik
ENSMUST00000132561	ENSMUSG00000047617	BC029214
ENSMUST00000132562	ENSMUSG00000029029	Wrap73
ENSMUST00000132563	ENSMUSG00000041578	Crx
ENSMUST00000132565	ENSMUSG00000026648	Dclre1c
ENSMUST00000132566	ENSMUSG00000039496	Cdnf
ENSMUST00000132567	ENSMUSG00000038530	Rgs4
ENSMUST00000132569	ENSMUSG00000061751	Kalrn
ENSMUST00000132572	ENSMUSG00000025413	Ttc4
ENSMUST00000132573	ENSMUSG00000050994	Adgb
ENSMUST00000132574	ENSMUSG00000026927	Sdccag3
ENSMUST00000132575	ENSMUSG00000025375	Aatk
ENSMUST00000132576	ENSMUSG00000041482	Piezo2
ENSMUST00000132577	ENSMUSG00000074923	Pak6
ENSMUST00000132578	ENSMUSG00000020282	Rhbdf1
ENSMUST00000132579	ENSMUSG00000087132	A930001C03Rik
ENSMUST00000132580	ENSMUSG00000039652	Cpeb3
ENSMUST00000132581	ENSMUSG00000029775	Klhdc10
ENSMUST00000132582	ENSMUSG00000025466	Fuom
ENSMUST00000132583	ENSMUSG00000031825	Crispld2
ENSMUST00000132585	ENSMUSG00000013275	Slc41a1
ENSMUST00000132590	ENSMUSG00000030254	Rad18
ENSMUST00000132591	ENSMUSG00000006471	Ndor1
ENSMUST00000132592	ENSMUSG00000034324	Tmem132c
ENSMUST00000132593	ENSMUSG00000090266	Mettl23
ENSMUST00000132594	ENSMUSG00000044252	Osbpl1a
ENSMUST00000132595	ENSMUSG00000051329	Nup160
ENSMUST00000132596	ENSMUSG00000047617	BC029214
ENSMUST00000132597	ENSMUSG00000020886	Dlg4
ENSMUST00000132598	ENSMUSG00000021460	Auh
ENSMUST00000132599	ENSMUSG00000030180	Kdm5a
ENSMUST00000132600	ENSMUSG00000027175	Tcp11l1
ENSMUST00000132601	ENSMUSG00000020804	Aanat
ENSMUST00000132602	ENSMUSG00000018322	Tomm34
ENSMUST00000132603	ENSMUSG00000068882	Ssb
ENSMUST00000132604	ENSMUSG00000048668	Rhno1
ENSMUST00000132605	ENSMUSG00000020859	Spag9
ENSMUST00000132606	ENSMUSG00000070780	Rbm47
ENSMUST00000132607	ENSMUSG00000079020	Slc45a4
ENSMUST00000132608	ENSMUSG00000027611	Procr
ENSMUST00000132610	ENSMUSG00000036208	BC027231
ENSMUST00000132611	ENSMUSG00000060445	Sycp2
ENSMUST00000132613	ENSMUSG00000033526	Ppip5k1
ENSMUST00000132614	ENSMUSG00000032966	Fkbp1a
ENSMUST00000132615	ENSMUSG00000026113	Inpp4a
ENSMUST00000132616	ENSMUSG00000074136	4930513N10Rik
ENSMUST00000132617	ENSMUSG00000033526	Ppip5k1
ENSMUST00000132618	ENSMUSG00000035530	Eif1
ENSMUST00000132619	ENSMUSG00000041966	Dcaf17
ENSMUST00000132620	ENSMUSG00000005417	Mprip
ENSMUST00000132621	ENSMUSG00000035458	Tnni3
ENSMUST00000132622	ENSMUSG00000027177	Hipk3
ENSMUST00000132623	ENSMUSG00000020863	Luc7l3
ENSMUST00000132625	ENSMUSG00000033845	Mrpl15
ENSMUST00000132627	ENSMUSG00000027575	Arfgap1
ENSMUST00000132628	ENSMUSG00000008301	Phax
ENSMUST00000132630	ENSMUSG00000002393	Nr2f6
ENSMUST00000132631	ENSMUSG00000028466	Creb3
ENSMUST00000132632	ENSMUSG00000029034	Cpsf3l
ENSMUST00000132633	ENSMUSG00000001440	Kpnb1
ENSMUST00000132634	ENSMUSG00000037605	Lphn3
ENSMUST00000132635	ENSMUSG00000019082	Slc25a22
ENSMUST00000132636	ENSMUSG00000063972	Nr6a1
ENSMUST00000132637	ENSMUSG00000031453	Rasa3
ENSMUST00000132638	ENSMUSG00000026930	Gpsm1
ENSMUST00000132639	ENSMUSG00000019494	Cops6
ENSMUST00000132640	ENSMUSG00000027165	B230118H07Rik
ENSMUST00000132643	ENSMUSG00000042675	Ypel3
ENSMUST00000132644	ENSMUSG00000059689	Zfp637
ENSMUST00000132645	ENSMUSG00000040950	Mgl2
ENSMUST00000132646	ENSMUSG00000001098	Kctd10
ENSMUST00000132647	ENSMUSG00000043760	Pkhd1
ENSMUST00000132648	ENSMUSG00000007888	Crlf1
ENSMUST00000132649	ENSMUSG00000051351	Zfp46
ENSMUST00000132650	ENSMUSG00000025413	Ttc4
ENSMUST00000132651	ENSMUSG00000030060	8430410A17Rik
ENSMUST00000132652	ENSMUSG00000036985	Zdhhc9
ENSMUST00000132654	ENSMUSG00000059713	Rcan3
ENSMUST00000132655	ENSMUSG00000040734	Ppp1r13l
ENSMUST00000132656	ENSMUSG00000066406	Akap13
ENSMUST00000132658	ENSMUSG00000037366	Pafah2
ENSMUST00000132659	ENSMUSG00000063506	Arhgap22
ENSMUST00000132660	ENSMUSG00000028830	AU040320
ENSMUST00000132661	ENSMUSG00000050423	Ppp1r3g
ENSMUST00000132663	ENSMUSG00000043065	Spice1
ENSMUST00000132664	ENSMUSG00000031264	Btk
ENSMUST00000132666	ENSMUSG00000002129	Sf3a1
ENSMUST00000132667	ENSMUSG00000070704	Ugt2b36
ENSMUST00000132668	ENSMUSG00000028163	Nfkb1
ENSMUST00000132669	ENSMUSG00000055897	Ppp4r1l-ps
ENSMUST00000132672	ENSMUSG00000073705	Apitd1
ENSMUST00000132674	ENSMUSG00000047295	Smgc
ENSMUST00000132675	ENSMUSG00000051977	Prdm9
ENSMUST00000132676	ENSMUSG00000017715	Pgs1
ENSMUST00000132677	ENSMUSG00000036687	Tmem184a
ENSMUST00000132678	ENSMUSG00000015247	Nipsnap3b
ENSMUST00000132679	ENSMUSG00000005698	Ctcf
ENSMUST00000132680	ENSMUSG00000036270	Edc4
ENSMUST00000132681	ENSMUSG00000057719	Sh3rf2
ENSMUST00000132682	ENSMUSG00000056770	Setd3
ENSMUST00000132683	ENSMUSG00000051537	Gm5124
ENSMUST00000132684	ENSMUSG00000089832	Shkbp1
ENSMUST00000132685	ENSMUSG00000033987	Dnah17
ENSMUST00000132686	ENSMUSG00000039943	Plcb4
ENSMUST00000132687	ENSMUSG00000017314	Mpp2
ENSMUST00000132688	ENSMUSG00000059363	Fxn
ENSMUST00000132689	ENSMUSG00000036006	Fam65b
ENSMUST00000132691	ENSMUSG00000086909	Gm4926
ENSMUST00000132693	ENSMUSG00000028211	Trp53inp1
ENSMUST00000132694	ENSMUSG00000037523	Mavs
ENSMUST00000132696	ENSMUSG00000039985	Fam60a
ENSMUST00000132697	ENSMUSG00000022799	Arhgap31
ENSMUST00000132699	ENSMUSG00000070565	Rasal2
ENSMUST00000132701	ENSMUSG00000043036	Ccdc63
ENSMUST00000132702	ENSMUSG00000042289	Hsd3b7
ENSMUST00000132703	ENSMUSG00000036249	Rbm43
ENSMUST00000132704	ENSMUSG00000028923	Necap2
ENSMUST00000132705	ENSMUSG00000048922	Cdca2
ENSMUST00000132706	ENSMUSG00000025579	Gaa
ENSMUST00000132707	ENSMUSG00000038502	Ptov1
ENSMUST00000132708	ENSMUSG00000004815	Dgkq
ENSMUST00000132709	ENSMUSG00000033970	Rfc3
ENSMUST00000132710	ENSMUSG00000026657	Frmd4a
ENSMUST00000132711	ENSMUSG00000021549	Rasa1
ENSMUST00000132712	ENSMUSG00000051427	Ccdc157
ENSMUST00000132713	ENSMUSG00000028857	Tmem222
ENSMUST00000132714	ENSMUSG00000002455	Prpf6
ENSMUST00000132715	ENSMUSG00000007850	Hnrnph1
ENSMUST00000132718	ENSMUSG00000032359	Ctsh
ENSMUST00000132719	ENSMUSG00000038205	Prkab2
ENSMUST00000132720	ENSMUSG00000028932	Psmc2
ENSMUST00000132721	ENSMUSG00000002233	Rhoc
ENSMUST00000132722	ENSMUSG00000075023	Accsl
ENSMUST00000132723	ENSMUSG00000020486	Sept4
ENSMUST00000132724	ENSMUSG00000054252	Fgfr3
ENSMUST00000132725	ENSMUSG00000047867	Gimap6
ENSMUST00000132726	ENSMUSG00000029726	Mepce
ENSMUST00000132727	ENSMUSG00000027330	Cdc25b
ENSMUST00000132728	ENSMUSG00000074895	Eif4e1b
ENSMUST00000132730	ENSMUSG00000031626	LOC100861925
ENSMUST00000132732	ENSMUSG00000040998	Npnt
ENSMUST00000132733	ENSMUSG00000061536	Sec22c
ENSMUST00000132734	ENSMUSG00000029167	Ppargc1a
ENSMUST00000132735	ENSMUSG00000036099	Vezt
ENSMUST00000132736	ENSMUSG00000038600	Atp6v0a4
ENSMUST00000132738	ENSMUSG00000035311	Gnptab
ENSMUST00000132739	ENSMUSG00000059474	Mbtd1
ENSMUST00000132740	ENSMUSG00000031601	Cnot7
ENSMUST00000132741	ENSMUSG00000002111	LOC100862024
ENSMUST00000132742	ENSMUSG00000018765	Fxr2
ENSMUST00000132743	ENSMUSG00000020023	Tmcc3
ENSMUST00000132745	ENSMUSG00000078922	Tgtp1
ENSMUST00000132746	ENSMUSG00000003032	Klf4
ENSMUST00000132747	ENSMUSG00000037916	Ndufv1
ENSMUST00000132748	ENSMUSG00000027634	Ndrg3
ENSMUST00000132749	ENSMUSG00000004221	Ikbkg
ENSMUST00000132750	ENSMUSG00000039699	Batf2
ENSMUST00000132751	ENSMUSG00000040940	Arhgef1
ENSMUST00000132752	ENSMUSG00000027130	Slc12a6
ENSMUST00000132753	ENSMUSG00000024012	Mtch1
ENSMUST00000132754	ENSMUSG00000029103	Lrpap1
ENSMUST00000132755	ENSMUSG00000024211	Grm8
ENSMUST00000132756	ENSMUSG00000010277	2610507B11Rik
ENSMUST00000132757	ENSMUSG00000033282	Rpgrip1l
ENSMUST00000132758	ENSMUSG00000062627	Mysm1
ENSMUST00000132761	ENSMUSG00000015714	Cers2
ENSMUST00000132763	ENSMUSG00000029790	Cep41
ENSMUST00000132764	ENSMUSG00000038816	Ctnnal1
ENSMUST00000132765	ENSMUSG00000060445	Sycp2
ENSMUST00000132766	ENSMUSG00000060038	Dhps
ENSMUST00000132767	ENSMUSG00000031626	LOC100861925
ENSMUST00000132768	ENSMUSG00000069892	9930111J21Rik2
ENSMUST00000132769	ENSMUSG00000060601	Nr1h2
ENSMUST00000132770	ENSMUSG00000061411	8430427H17Rik
ENSMUST00000132771	ENSMUSG00000019312	Grb7
ENSMUST00000132772	ENSMUSG00000020859	Spag9
ENSMUST00000132774	ENSMUSG00000020774	Aspa
ENSMUST00000132775	ENSMUSG00000029477	Morn3
ENSMUST00000132776	ENSMUSG00000020400	Tnip1
ENSMUST00000132777	ENSMUSG00000014778	Fhod1
ENSMUST00000132780	ENSMUSG00000034471	Caskin2
ENSMUST00000132781	ENSMUSG00000040543	Pitpnm3
ENSMUST00000132782	ENSMUSG00000028309	Rnf20
ENSMUST00000132783	ENSMUSG00000020459	Mtif2
ENSMUST00000132784	ENSMUSG00000036198	Arhgap36
ENSMUST00000132785	ENSMUSG00000029462	Vps29
ENSMUST00000132786	ENSMUSG00000040940	Arhgef1
ENSMUST00000132787	ENSMUSG00000031452	1700029H14Rik
ENSMUST00000132788	ENSMUSG00000039556	Ppp1r3f
ENSMUST00000132789	ENSMUSG00000015149	Sirt2
ENSMUST00000132790	ENSMUSG00000038545	Cul7
ENSMUST00000132791	ENSMUSG00000040687	Madd
ENSMUST00000132793	ENSMUSG00000026413	Pkp1
ENSMUST00000132794	ENSMUSG00000063870	Chd4
ENSMUST00000132795	ENSMUSG00000026418	Tnni1
ENSMUST00000132796	ENSMUSG00000020841	Cpd
ENSMUST00000132798	ENSMUSG00000072966	Gprasp2
ENSMUST00000132799	ENSMUSG00000032042	Srpr
ENSMUST00000132800	ENSMUSG00000032322	Pstpip1
ENSMUST00000132801	ENSMUSG00000023110	Prmt5
ENSMUST00000132802	ENSMUSG00000034401	Spata6
ENSMUST00000132803	ENSMUSG00000044533	Rps2
ENSMUST00000132805	ENSMUSG00000041476	Smpx
ENSMUST00000132806	ENSMUSG00000053550	Shisa7
ENSMUST00000132807	ENSMUSG00000036435	Exoc1
ENSMUST00000132808	ENSMUSG00000042606	Hirip3
ENSMUST00000132809	ENSMUSG00000006010	BC003331
ENSMUST00000132810	ENSMUSG00000039063	Echdc3
ENSMUST00000132812	ENSMUSG00000043909	Trp53bp1
ENSMUST00000132813	ENSMUSG00000024414	Mrpl27
ENSMUST00000132815	ENSMUSG00000045973	Slc25a51
ENSMUST00000132817	ENSMUSG00000026563	Tada1
ENSMUST00000132818	ENSMUSG00000042747	Krtcap2
ENSMUST00000132819	ENSMUSG00000030822	Prr14
ENSMUST00000132820	ENSMUSG00000026923	Notch1
ENSMUST00000132821	ENSMUSG00000053411	Cbx7
ENSMUST00000132823	ENSMUSG00000027709	Mccc1
ENSMUST00000132825	ENSMUSG00000047407	Tgif1
ENSMUST00000132828	ENSMUSG00000006024	Napa
ENSMUST00000132829	ENSMUSG00000078686	Mup9
ENSMUST00000132830	ENSMUSG00000068917	Clk2
ENSMUST00000132831	ENSMUSG00000032850	Rnft2
ENSMUST00000132832	ENSMUSG00000029554	Mad1l1
ENSMUST00000132833	ENSMUSG00000026012	Cd28
ENSMUST00000132836	ENSMUSG00000058794	Nfe2
ENSMUST00000132837	ENSMUSG00000015214	Mtmr1
ENSMUST00000132838	ENSMUSG00000034224	Slc38a8
ENSMUST00000132839	ENSMUSG00000064141	Zfp69
ENSMUST00000132841	ENSMUSG00000032382	Snx1
ENSMUST00000132843	ENSMUSG00000074923	Pak6
ENSMUST00000132844	ENSMUSG00000013921	Clip3
ENSMUST00000132845	ENSMUSG00000063681	Crb1
ENSMUST00000132847	ENSMUSG00000035131	Fam5c
ENSMUST00000132848	ENSMUSG00000052446	Zfp961
ENSMUST00000132851	ENSMUSG00000025083	Afap1l2
ENSMUST00000132852	ENSMUSG00000047996	Prrg1
ENSMUST00000132853	ENSMUSG00000039254	Pomt1
ENSMUST00000132854	ENSMUSG00000001054	Rmnd5b
ENSMUST00000132855	ENSMUSG00000086040	Wipf3
ENSMUST00000132856	ENSMUSG00000020289	Nprl3
ENSMUST00000132859	ENSMUSG00000022701	2610015P09Rik
ENSMUST00000132860	ENSMUSG00000036323	Srp72
ENSMUST00000132862	ENSMUSG00000078762	Haus5
ENSMUST00000132863	ENSMUSG00000038346	Zfp384
ENSMUST00000132864	ENSMUSG00000028854	Slc9a1
ENSMUST00000132866	ENSMUSG00000058440	Nrf1
ENSMUST00000132867	ENSMUSG00000055553	Kxd1
ENSMUST00000132868	ENSMUSG00000028678	Kif2c
ENSMUST00000132869	ENSMUSG00000000901	Mmp11
ENSMUST00000132870	ENSMUSG00000037855	Zfp365
ENSMUST00000132872	ENSMUSG00000012123	Aim1l
ENSMUST00000132873	ENSMUSG00000064246	Chi3l1
ENSMUST00000132874	ENSMUSG00000020477	Mrps24
ENSMUST00000132875	ENSMUSG00000030824	Nucb1
ENSMUST00000132876	ENSMUSG00000006575	Rundc3a
ENSMUST00000132877	ENSMUSG00000046364	Rpl27a
ENSMUST00000132878	ENSMUSG00000021013	Ttc8
ENSMUST00000132881	ENSMUSG00000022708	Zbtb20
ENSMUST00000132882	ENSMUSG00000006395	Hyi
ENSMUST00000132883	ENSMUSG00000078877	Gm14295
ENSMUST00000132884	ENSMUSG00000011096	Akt1s1
ENSMUST00000132885	ENSMUSG00000030983	Bccip
ENSMUST00000132886	ENSMUSG00000014195	Dnajc7
ENSMUST00000132889	ENSMUSG00000020790	Ankfy1
ENSMUST00000132890	ENSMUSG00000052423	B4galt3
ENSMUST00000132891	ENSMUSG00000043243	Fam129c
ENSMUST00000132893	ENSMUSG00000023764	Sfi1
ENSMUST00000132894	ENSMUSG00000026490	Cdc42bpa
ENSMUST00000132895	ENSMUSG00000032890	Rims3
ENSMUST00000132896	ENSMUSG00000027977	Ndst3
ENSMUST00000132897	ENSMUSG00000063160	Numbl
ENSMUST00000132899	ENSMUSG00000031860	Pbx4
ENSMUST00000132900	ENSMUSG00000041120	Nbl1
ENSMUST00000132901	ENSMUSG00000021098	4930447C04Rik
ENSMUST00000132902	ENSMUSG00000022911	Arl13b
ENSMUST00000132903	ENSMUSG00000025473	Adam8
ENSMUST00000132904	ENSMUSG00000017679	Ttpal
ENSMUST00000132905	ENSMUSG00000020546	Stxbp4
ENSMUST00000132906	ENSMUSG00000028923	Necap2
ENSMUST00000132907	ENSMUSG00000007610	Gtpbp3
ENSMUST00000132908	ENSMUSG00000025816	Sec61a2
ENSMUST00000132909	ENSMUSG00000028800	Hdac1
ENSMUST00000132910	ENSMUSG00000003437	Paf1
ENSMUST00000132911	ENSMUSG00000028345	Tex10
ENSMUST00000132912	ENSMUSG00000013338	Fer1l4
ENSMUST00000132914	ENSMUSG00000032281	Acsbg1
ENSMUST00000132915	ENSMUSG00000046862	Pramef8
ENSMUST00000132916	ENSMUSG00000029596	Sdsl
ENSMUST00000132917	ENSMUSG00000053119	Chmp3
ENSMUST00000132919	ENSMUSG00000025939	Ube2w
ENSMUST00000132920	ENSMUSG00000015766	Eps8
ENSMUST00000132921	ENSMUSG00000086569	4930542H20Rik
ENSMUST00000132922	ENSMUSG00000030611	Mrps11
ENSMUST00000132923	ENSMUSG00000027900	Dram2
ENSMUST00000132924	ENSMUSG00000026979	Psd4
ENSMUST00000132925	ENSMUSG00000045482	Trrap
ENSMUST00000132926	ENSMUSG00000037012	Hk1
ENSMUST00000132927	ENSMUSG00000028343	Erp44
ENSMUST00000132928	ENSMUSG00000042363	Lgalsl
ENSMUST00000132929	ENSMUSG00000027620	Rbm39
ENSMUST00000132930	ENSMUSG00000017830	Dhx58
ENSMUST00000132932	ENSMUSG00000031700	Gpt2
ENSMUST00000132933	ENSMUSG00000042459	Bpifa2
ENSMUST00000132934	ENSMUSG00000004044	Ptrf
ENSMUST00000132935	ENSMUSG00000031402	Mpp1
ENSMUST00000132936	ENSMUSG00000030093	Wnt7a
ENSMUST00000132937	ENSMUSG00000030263	Lrmp
ENSMUST00000132938	ENSMUSG00000030058	Copg1
ENSMUST00000132940	ENSMUSG00000041120	Nbl1
ENSMUST00000132941	ENSMUSG00000026923	Notch1
ENSMUST00000132943	ENSMUSG00000028415	Spink4
ENSMUST00000132944	ENSMUSG00000036820	Amdhd2
ENSMUST00000132945	ENSMUSG00000057672	Pkn1
ENSMUST00000132946	ENSMUSG00000046262	C87977
ENSMUST00000132947	ENSMUSG00000034021	Pds5b
ENSMUST00000132948	ENSMUSG00000030263	Lrmp
ENSMUST00000132949	ENSMUSG00000026017	Carf
ENSMUST00000132951	ENSMUSG00000063800	Prpf38a
ENSMUST00000132952	ENSMUSG00000038695	Josd2
ENSMUST00000132953	ENSMUSG00000022761	Lztr1
ENSMUST00000132955	ENSMUSG00000061474	Mrps36
ENSMUST00000132956	ENSMUSG00000018819	Lsp1
ENSMUST00000132958	ENSMUSG00000027722	Spata5
ENSMUST00000132959	ENSMUSG00000036596	Cpz
ENSMUST00000132960	ENSMUSG00000026004	Kansl1l
ENSMUST00000132961	ENSMUSG00000075420	Smim6
ENSMUST00000132962	ENSMUSG00000029014	Dnajc2
ENSMUST00000132963	ENSMUSG00000040250	Asun
ENSMUST00000132964	ENSMUSG00000031889	D230025D16Rik
ENSMUST00000132966	ENSMUSG00000059183	Mtfmt
ENSMUST00000132967	ENSMUSG00000075249	Fsip2
ENSMUST00000132968	ENSMUSG00000026764	Kif5c
ENSMUST00000132969	ENSMUSG00000009894	Snap47
ENSMUST00000132970	ENSMUSG00000042386	Tex13
ENSMUST00000132971	ENSMUSG00000010803	Gabra1
ENSMUST00000132972	ENSMUSG00000048249	Crebrf
ENSMUST00000132974	ENSMUSG00000031441	Atp11a
ENSMUST00000132975	ENSMUSG00000066571	4931406P16Rik
ENSMUST00000132976	ENSMUSG00000029703	Lrwd1
ENSMUST00000132977	ENSMUSG00000018411	Mapt
ENSMUST00000132978	ENSMUSG00000020728	Cep112
ENSMUST00000132979	ENSMUSG00000034903	Cobll1
ENSMUST00000132980	ENSMUSG00000038495	Otud7b
ENSMUST00000132981	ENSMUSG00000026853	Crat
ENSMUST00000132982	ENSMUSG00000078762	Haus5
ENSMUST00000132983	ENSMUSG00000018379	Srsf1
ENSMUST00000132984	ENSMUSG00000001436	Slc19a1
ENSMUST00000132985	ENSMUSG00000067818	Myl9
ENSMUST00000132987	ENSMUSG00000032380	Dapk2
ENSMUST00000132989	ENSMUSG00000002602	Axl
ENSMUST00000132990	ENSMUSG00000034087	Nlrp4b
ENSMUST00000132991	ENSMUSG00000037736	Limch1
ENSMUST00000132992	ENSMUSG00000022208	Jph4
ENSMUST00000132993	ENSMUSG00000026786	Apbb1ip
ENSMUST00000132994	ENSMUSG00000035694	Caps2
ENSMUST00000132995	ENSMUSG00000053460	Ggcx
ENSMUST00000132997	ENSMUSG00000032883	Acsl3
ENSMUST00000132998	ENSMUSG00000027829	Ccnl1
ENSMUST00000132999	ENSMUSG00000020782	Llgl2
ENSMUST00000133000	ENSMUSG00000020866	Cacna1g
ENSMUST00000133002	ENSMUSG00000032342	Mto1
ENSMUST00000133003	ENSMUSG00000068039	Tcp1
ENSMUST00000133004	ENSMUSG00000040701	Ap1g2
ENSMUST00000133006	ENSMUSG00000066000	2610305D13Rik
ENSMUST00000133007	ENSMUSG00000009090	Ap1b1
ENSMUST00000133008	ENSMUSG00000024985	Tcf7l2
ENSMUST00000133009	ENSMUSG00000071553	Cpa2
ENSMUST00000133010	ENSMUSG00000085576	Dpy19l2
ENSMUST00000133011	ENSMUSG00000028565	Nfia
ENSMUST00000133012	ENSMUSG00000025505	Tmem80
ENSMUST00000133013	ENSMUSG00000004460	Dnajb11
ENSMUST00000133014	ENSMUSG00000009090	Ap1b1
ENSMUST00000133016	ENSMUSG00000027185	Nat10
ENSMUST00000133017	ENSMUSG00000028088	Fmo5
ENSMUST00000133018	ENSMUSG00000027488	Snta1
ENSMUST00000133019	ENSMUSG00000014158	Trpv4
ENSMUST00000133020	ENSMUSG00000002064	Sdf2
ENSMUST00000133021	ENSMUSG00000019082	Slc25a22
ENSMUST00000133022	ENSMUSG00000002778	Kdelr1
ENSMUST00000133023	ENSMUSG00000031431	Tsc22d3
ENSMUST00000133025	ENSMUSG00000085545	Gm13553
ENSMUST00000133026	ENSMUSG00000003847	Nfat5
ENSMUST00000133027	ENSMUSG00000009246	Trpm5
ENSMUST00000133028	ENSMUSG00000000301	Pemt
ENSMUST00000133029	ENSMUSG00000025161	Slc16a3
ENSMUST00000133031	ENSMUSG00000040738	Ints8
ENSMUST00000133032	ENSMUSG00000024188	Luc7l
ENSMUST00000133034	ENSMUSG00000038646	Fam103a1
ENSMUST00000133035	ENSMUSG00000031889	D230025D16Rik
ENSMUST00000133036	ENSMUSG00000004043	Stat5a
ENSMUST00000133037	ENSMUSG00000031816	Mthfsd
ENSMUST00000133038	ENSMUSG00000020514	Mrpl22
ENSMUST00000133039	ENSMUSG00000020773	Trim47
ENSMUST00000133040	ENSMUSG00000061462	Obscn
ENSMUST00000133041	ENSMUSG00000021196	Pfkp
ENSMUST00000133042	ENSMUSG00000039236	Isg20
ENSMUST00000133043	ENSMUSG00000029687	Ezh2
ENSMUST00000133044	ENSMUSG00000033685	Ucp2
ENSMUST00000133046	ENSMUSG00000066568	Lsm14a
ENSMUST00000133047	ENSMUSG00000002105	Slc39a13
ENSMUST00000133048	ENSMUSG00000024213	Nudt3
ENSMUST00000133049	ENSMUSG00000028601	Echdc2
ENSMUST00000133050	ENSMUSG00000062729	Ppox
ENSMUST00000133051	ENSMUSG00000025261	Huwe1
ENSMUST00000133052	ENSMUSG00000038633	Degs1
ENSMUST00000133053	ENSMUSG00000017307	Acot8
ENSMUST00000133054	ENSMUSG00000020877	Scrn2
ENSMUST00000133055	ENSMUSG00000028527	Ak4
ENSMUST00000133056	ENSMUSG00000038085	Cnbd2
ENSMUST00000133057	ENSMUSG00000026399	Cd55
ENSMUST00000133058	ENSMUSG00000031816	Mthfsd
ENSMUST00000133059	ENSMUSG00000001436	Slc19a1
ENSMUST00000133061	ENSMUSG00000030159	Clec1b
ENSMUST00000133062	ENSMUSG00000063229	Ldha
ENSMUST00000133063	ENSMUSG00000043262	Uevld
ENSMUST00000133064	ENSMUSG00000073599	Ecscr
ENSMUST00000133065	ENSMUSG00000007655	Cav1
ENSMUST00000133067	ENSMUSG00000059796	Eif4a1
ENSMUST00000133068	ENSMUSG00000042558	Adprhl2
ENSMUST00000133069	ENSMUSG00000046709	Mapk10
ENSMUST00000133070	ENSMUSG00000075595	Zfp652
ENSMUST00000133071	ENSMUSG00000061046	Haghl
ENSMUST00000133072	ENSMUSG00000026289	Atg16l1
ENSMUST00000133074	ENSMUSG00000030557	Mef2a
ENSMUST00000133075	ENSMUSG00000005677	Nr1i3
ENSMUST00000133076	ENSMUSG00000026623	Lpgat1
ENSMUST00000133077	ENSMUSG00000017760	Ctsa
ENSMUST00000133079	ENSMUSG00000053161	Daw1
ENSMUST00000133081	ENSMUSG00000003464	Pex19
ENSMUST00000133083	ENSMUSG00000040859	Bsdc1
ENSMUST00000133084	ENSMUSG00000002342	Tmem161a
ENSMUST00000133085	ENSMUSG00000072929	Gm15109
ENSMUST00000133086	ENSMUSG00000031981	Capn9
ENSMUST00000133088	ENSMUSG00000037437	Adam32
ENSMUST00000133089	ENSMUSG00000030846	Tial1
ENSMUST00000133090	ENSMUSG00000055436	Srsf11
ENSMUST00000133091	ENSMUSG00000085198	4933416E03Rik
ENSMUST00000133092	ENSMUSG00000030093	Wnt7a
ENSMUST00000133093	ENSMUSG00000039201	Tbc1d25
ENSMUST00000133094	ENSMUSG00000027615	Hps3
ENSMUST00000133095	ENSMUSG00000002129	Sf3a1
ENSMUST00000133096	ENSMUSG00000041890	Git2
ENSMUST00000133097	ENSMUSG00000032998	Foxj3
ENSMUST00000133098	ENSMUSG00000029513	Prkab1
ENSMUST00000133099	ENSMUSG00000032892	Rangrf
ENSMUST00000133101	ENSMUSG00000055491	Pprc1
ENSMUST00000133103	ENSMUSG00000032673	Prorsd1
ENSMUST00000133104	ENSMUSG00000049252	Lrp1b
ENSMUST00000133105	ENSMUSG00000040520	Manea
ENSMUST00000133108	ENSMUSG00000032402	Smad3
ENSMUST00000133109	ENSMUSG00000028488	Sh3gl2
ENSMUST00000133110	ENSMUSG00000028459	Cd72
ENSMUST00000133111	ENSMUSG00000033149	Phldb2
ENSMUST00000133112	ENSMUSG00000024413	Npc1
ENSMUST00000133113	ENSMUSG00000002546	Golga2
